rdf-schema#label,author_label,firstPublicationDate,lastPublicationDate,magazine_label,numberOfVolumes,publisher_label
God's Puzzle,Shinji_Kimoto,{2002-11-25|2007-09-11},NULL,{FlexComix_Blood|FlexComix_Next},3,Flex Comix
GodHand Teru,Kazuki_Yamamoto,NULL,NULL,Weekly Shōnen Magazine,62,Kodansha
NULL,Go Nagai,1984-05-15,1984-09-15,NULL,4,Shogakukan
NULL,{Yasutaka Nagai|Tatsuhiko_Dan|Hideki_Sonoda},NULL,NULL,NULL,10,Kadokawa Shoten
Goemon (series),NULL,{1991-12-03|1993-01-05|1993-12-27|1995-02-03|1996-04-30|1997-04-30|1998-02-04|2013-11-21},NULL,NULL,{1|2|3},{Kodansha|KC_Derakkusu}
Gokicha,NULL,2011-07-28,NULL,Manga Time Kirara Carat,3,Houbunsha
Goku Midnight Eye,Buichi Terasawa,NULL,NULL,Comic Birz,{3|4},Gentosha
Gokuaku no Hana,NULL,2008-12-26,2009-08-28,Weekly Comic Bunch,2,Shinchosha
Gokudo,Usagi_Nakamura,{1991-06-01|1993-06-10},1999-09-01,Dengeki Daioh,{10|13},{MediaWorks (publisher)|Kadokawa Shoten}
Gokudō Meshi,Shigeru_Tsuchiyama,NULL,NULL,Manga Action,8,Futabasha
Gokujyo,Maya_Miyazaki,NULL,NULL,{Super Jump|Grand Jump},5,Shueisha
Gokujō!! Mecha Mote Iinchō,Tomoko_Nishimura,2006-06-30,NULL,Ciao (magazine),15,Shogakukan
Gokusen,Gokusen,2000-08-23,NULL,You (Japanese magazine),15,Shueisha
Golden Boy (manga),Tatsuya Egawa,2010-09-15,2011-05-18,{Business Jump|Super Jump},{2|10},Shueisha
Golden Cain,Yū Asagiri,NULL,NULL,Magazine_Be-Boy,1,{Central Park Media|Libre Publishing}
Golden Prince and Argent King,Kouko_Agawa,2006-12-09,NULL,NULL,1,{Digital Manga|Libre Publishing}
Golden Time (novel series),Yuyuko Takemiya,2010-09-10,2014-03-08,{Dengeki Daioh|Dengeki Bunko Magazine},{8|11},ASCII Media Works
Goldfish Warning!,Neko_Nekobe,NULL,NULL,Nakayoshi,8,Kodansha
Golgo 13,Takao Saito,NULL,NULL,Big Comic,179,Shogakukan
Gon (manga),Masashi Tanaka,NULL,NULL,Weekly Morning,7,Kodansha
Gonna be the Twin-Tail!!,NULL,2012-06-19,NULL,NULL,10,Shogakukan
Good Luck! Ninomiya-kun,Daisuke_Suzuki_(novelist),2004-09-18,2009-01-20,{Dragon Magazine (Fujimi Shobo)|Monthly Dragon Age},{4|17},Fujimi Shobo
Good Luck Girl!,NULL,2008-06-04,2013-07-04,Jump Square,16,Shueisha
Good Morning Althea,Takehiko Itō,NULL,NULL,C-Live,NULL,NULL
Good Morning Call,Yue_Takasuka,2007-05-15,NULL,{Ribon|Cookie (manga magazine)},{10|11},Shueisha
Goodnight Punpun,Inio Asano,2007-03-15,2013-11-02,{Big Comic Spirits|Weekly Young Sunday},13,Shogakukan
Gorgeous Carat,You Higuri,NULL,NULL,NULL,{1|2|3|4},{Shueisha|Gentosha}
Gosick,Kazuki Sakuraba,{2003-12-10|2011-04-01|2013-12-25},{2007-04-10|2011-07-23|2011-12-01},{Monthly Comp Ace|Monthly Dragon Age},{3|8|9|13},{Kadokawa Shoten|Fujimi Shobo}
Goth (novel),Otsuichi,2003-05-30,NULL,NULL,1,{Tokyopop|Kadokawa Shoten}
Gou-dere Sora Nagihara,Suu Minazuki,2008-08-29,2014-06-27,Young Animal Arashi,4,{Hakusensha|Yen Press}
Gourmet Girl Graffiti,NULL,NULL,NULL,NULL,4,Houbunsha
Gozen 3-ji no Muhōchitai,NULL,NULL,NULL,Feel Young,{1|3|4},Shodensha
Grand Dolls,Osamu Tezuka,NULL,NULL,Shōnen Book,1,{Kodansha|Shueisha}
Grand Guignol Orchestra,Kaori Yuki,NULL,NULL,Bessatsu Hana to Yume,5,Hakusensha
Grander Musashi,Takashi Teshirogi,NULL,NULL,CoroCoro Comic,10,Shogakukan
Grandpa Danger,Kazutoshi_Soyama,NULL,NULL,CoroCoro Comic,20,Shogakukan
Gravitation (manga),Maki Murakami,NULL,NULL,NULL,{2|12},Gentosha
NULL,Go Nagai,NULL,NULL,NULL,2,Kodansha
Great Teacher Onizuka,Tooru Fujisawa,{1997-05-16|2014-04-14},2002-04-17,{Weekly Shōnen Magazine|Weekly Young Magazine},{2|9|25},{Vertical (company)|Kodansha}
Green Green (anime),Noboru Yamaguchi (author),NULL,NULL,NULL,5,Media Factory
Grenadier (manga),Sōsuke Kaise,NULL,NULL,Monthly Shōnen Ace,7,Kadokawa Shoten
Grendizer,Go Nagai,NULL,NULL,{TV Land|TV Magazine},{1|2|5},{Kodansha|Tokuma Shoten|Akita Shoten}
Grey (manga),Yoshihisa_Tagami,NULL,NULL,Monthly_Shōnen_Captain,3,{Viz Media|Tokuma Shoten}
Grimgar of Fantasy and Ash,NULL,{2013-06-25|2015-04-22},NULL,Gangan Comics,{1|7},Square Enix
Gringo (manga),Osamu Tezuka,1987-08-10,1989-01-25,Big Comic,3,Shogakukan
NULL,Go Nagai,NULL,NULL,Shogaku_Ichinensei,NULL,Shogakukan
NULL,Go Nagai,NULL,NULL,Bessatsu Shōnen Sunday,NULL,Shogakukan
NULL,Go Nagai,1976-07-30,1976-09-20,Asahi Sonorama,2,Asahi Sonorama
NULL,Ken Akamatsu,NULL,NULL,NULL,2,Kodansha
Gu-Gu Datte Neko de Aru,Yumiko Ōshima,NULL,NULL,NULL,NULL,NULL
Gu Gu Ganmo,Fujihiko Hosono,NULL,NULL,Weekly Shōnen Sunday,12,Shogakukan
Guardian Hearts,NULL,NULL,2005-07-07,NULL,8,NULL
Gugure! Kokkuri-san,NULL,NULL,NULL,Gangan Comics,9,Square Enix
NULL,NULL,NULL,NULL,Gangan Comics,7,Square Enix
NULL,NULL,NULL,NULL,Dengeki G's Magazine,3,ASCII Media Works
NULL,NULL,2012-04-25,NULL,NULL,NULL,Nitroplus
Guin Saga,{Kaoru Kurimoto|Kazuaki_Yanagisawa|Hajime_Sawada},NULL,NULL,{Monthly Comic Flapper|Comic Rush},{3|6|137},{Jive (publisher)|Media Factory|Hayakawa_Publishing}
Gum Gum Punch,Osamu Tezuka,NULL,NULL,{Shogaku-Ichinensei|Shogaku-Ninensei},1,Shogakukan
Gun Blaze West,Nobuhiro Watsuki,2001-06-04,2001-11-02,Weekly Shōnen Jump,3,Shueisha
Gun Frontier,Leiji Matsumoto,NULL,NULL,NULL,2,{Akita Shoten|Daiwa_Shobo}
Gun Princess,Madoka_Takadono,{2004-04-24|2006-02-25},2008-09-22,Monthly Shōnen Sirius,{4|11},{Seven Seas Entertainment|Kodansha|Media Factory}
NULL,NULL,NULL,NULL,NULL,5,Kadokawa Shoten
NULL,NULL,NULL,NULL,Hobby Japan,NULL,Hobby Japan
NULL,Tomohiro_Chiba,NULL,NULL,Gundam Ace,NULL,Kadokawa Shoten
NULL,Tomohiro_Chiba,NULL,NULL,Dengeki Hobby Magazine,NULL,ASCII Media Works
NULL,NULL,NULL,NULL,Hobby Japan,NULL,Hobby Japan
NULL,NULL,NULL,NULL,Gundam Ace,NULL,Kadokawa Shoten
Gundam Sentinel,NULL,NULL,NULL,NULL,NULL,NULL
NULL,Kōichi Tokita,NULL,NULL,Comic BomBom,1,Kodansha
NULL,NULL,NULL,NULL,NULL,1,Kadokawa Shoten
NULL,Sakura Asagi,NULL,NULL,NULL,1,NULL
Gunnm: Mars Chronicle,Yukito Kishiro,2014-10-28,NULL,Evening (magazine),2,Kodansha
Gunparade March,Rei Hiroe,NULL,NULL,Dengeki Comics,3,ASCII Media Works
Gunslinger Girl,Yu Aida,2002-05-21,2012-09-27,Dengeki Daioh,15,ASCII Media Works
Gunsmith Cats,Kenichi Sonoda,NULL,NULL,Monthly Afternoon,{5|8},Kodansha
Gurazeni,NULL,2010-12-09,2015-01-23,Weekly Morning,17,Kodansha
NULL,NULL,2007-08-17,2008-12-19,NULL,4,Shogakukan
NULL,Kazuki Nakashima,NULL,NULL,{Dengeki Comic Gao!|Dengeki Daioh},10,ASCII Media Works
NULL,NULL,2008-08-26,2009-01-26,Monthly Comp Ace,1,Kadokawa Shoten
Guru Guru Pon-chan,Satomi Ikezawa,NULL,NULL,Bessatsu Friend,9,{Tanoshimi|Kodansha|Del Rey Manga}
Gyo,Junji Ito,NULL,NULL,Big Comic Spirits,2,Shogakukan
Gyōten Ningen Batseelor,{Fumiaki_Tatesako|Mahoto_Kaji},NULL,NULL,Comic BomBom,{2|3},Kodansha
H2O: Footprints in the Sand,NULL,2007-01-26,2008-02-26,Monthly Comp Ace,2,Kadokawa Shoten
H2 (manga),Mitsuru Adachi,NULL,NULL,Weekly Shōnen Sunday,34,Shogakukan
Hachimitsu ni Hatsukoi,NULL,NULL,NULL,Shōjo Comic,11,Shogakukan
Hades Project Zeorymer,Yoshiki Takaya,NULL,NULL,{Lemon People|Monthly Comic Ryū},{1|2},Tokuma Shoten
Haganai,NULL,{2009-08-31|2010-03-27|2010-11-19|2011-11-11|2012-12-25},{2012-06-19|2013-02-22|2015-08-25},{Monthly Comic Alive|Jump Square},{2|11|12},{Shueisha|Media Factory}
Haguregumo,George Akiyama,NULL,NULL,Big Comic Original,106,Shogakukan
Hai-Furi,NULL,2015-10-27,NULL,Monthly Comic Alive,NULL,Media Factory
Haikara-san ga Tōru,Waki Yamato,NULL,NULL,Shōjo Friend,8,Kodansha
Haikyū!!,Haruichi Furudate,2012-02-20,NULL,Weekly Shōnen Jump,20,Shueisha
Hajime no Ippo,George Morikawa,NULL,NULL,Weekly Shōnen Magazine,112,Kodansha
Hakkenden: Eight Dogs of the East,NULL,2005-10-10,NULL,Monthly Asuka,15,Kadokawa Shoten
Hakuba no Ōji-sama,NULL,NULL,NULL,Big Comic Spirits,10,Shogakukan
Hakushaku to Yōsei,Mizue_Tani,2004-03-03,2013-12-27,{Margaret (magazine)|Cobalt (magazine)},{4|33},Shueisha
Hamatora,NULL,2013-11-21,2014-12-11,Weekly Young Jump,3,Shueisha
Hamtaro,Ritsuko Kawai,NULL,NULL,Ciao (magazine),3,Shogakukan
Hana-Kimi,Hisaya Nakajo,1996-09-20,2004-08-20,Hana to Yume,23,{Viz Media|Hakusensha}
Hana Usagi,Kentarō Kobayashi,NULL,NULL,Young Magazine Uppers,4,Kodansha
Hana Yori mo Hana no Gotoku,NULL,NULL,NULL,Melody (magazine),14,Hakusensha
Hana no Asuka-gumi!,Satosumi_Takaguchi,NULL,NULL,Monthly Asuka,27,{Feel Young|Kadokawa Shoten}
Hana no Zubora-Meshi,NULL,NULL,NULL,Elegance_Eve,2,Akita Shoten
Hana to Akuma,Hisamu_Oto,2007-10-20,2011-03-18,Hana to Yume,10,Hakusensha
Hana to Ryū,Kazuma Kodaka,NULL,NULL,NULL,23,NULL
Hanada Shōnen Shi,Makoto Isshiki,NULL,NULL,Mr._Magazine,4,Kodansha
Hanakun to Koisuru Watashi,NULL,2011-08-11,NULL,Bessatsu Friend,10,Kodansha
Hanamaru Kindergarten,Yuto_(manga_artist),NULL,NULL,Gangan Comics,11,Square Enix
Hanappe Bazooka,Kazuo Koike,1979-06-07,1982-01-07,Weekly Young Jump,10,Shueisha
Hanasakeru Seishōnen,Natsumi Itsuki,NULL,NULL,LaLa,12,Hakusensha
Hanasaku Iroha,P.A.Works,2011-07-01,2012-07-02,Gangan Comics,{2|5},{Square Enix|Bandai Visual}
Hanaukyo Maid Team,Morishige,NULL,NULL,Monthly Shōnen Champion,14,Akita Shoten
Hanayamata,NULL,NULL,NULL,Manga Time Kirara Forward,7,Houbunsha
Hanbun no Tsuki ga Noboru Sora,NULL,{2003-10-10|2005-08-27},{2006-08-10|2006-11-27},{Dengeki Comic Gao!|Dengeki hp},{2|8},MediaWorks (publisher)
Hands Off!,Kasane_Katsumoto,NULL,NULL,Monthly Asuka,8,Kadokawa Shoten
Handsome na Kanojo,Wataru Yoshizumi,NULL,NULL,Ribon,9,Shueisha
Hanjuku-Joshi,Akiko Morishima,NULL,NULL,Comic Yuri Hime,2,{Ichijinsha|JManga}
Haou Airen,Mayu Shinjo,NULL,NULL,Shōjo Comic,9,Shogakukan
Happiness! (visual novel),Windmill (company),NULL,NULL,Monthly Comic Alive,{2|7},Media Factory
NULL,Izumi Todo,NULL,NULL,Nakayoshi,NULL,Kodansha
Happiness Recommended,Souya_Himawari,2003-03-28,NULL,NULL,1,Houbunsha
Happy!,Naoki Urasawa,NULL,NULL,Big Comic Spirits,23,Shogakukan
NULL,Makoto Tateno,NULL,NULL,Wings (magazine),2,{Shinshokan|Dokidoki}
Happy Cafe,NULL,2005-07-19,2009-11-19,Hana to Yume,15,{Tokyopop|Hakusensha}
Happy Happy Clover,Tatsuyama_Sayuri,NULL,NULL,Ciao (magazine),5,Shogakukan
Happy Hustle High,Rie Takada,NULL,NULL,Shōjo Comic,5,{Shogakukan|Viz Media}
Happy Kappy,Rino_Mizuho,NULL,NULL,{Pucchigumi|Shōgaku_Ichinensei},NULL,Shogakukan
Happy Lesson,Mutsumi Sasaki,NULL,NULL,Dengeki G's Magazine,2,MediaWorks (publisher)
Happy Mania,Moyoco Anno,NULL,NULL,Feel Young,11,Shodensha
Happy Marriage!?,Maki Enjōji,NULL,NULL,Shojo Beat,10,{Shogakukan|Viz Media}
Happy Seven,Hiroyuki_Kawasaki,NULL,NULL,NULL,21,Shueisha
Happy World!,Kenjirou_Takeshita,2001-02-24,2006-07-19,Ultra Jump,11,Shueisha
Harenchi Gakuen,{Go Nagai|Teruto_Aruga},{1968-08-01|1994-05-13|2003-08-14|2007-03-01},{1972-09-25|1995-12-12|2008-04-16},{Weekly Shōnen Jump|Business Jump|Shōnen Book|Weekly Manga Goraku|Weekly Manga Sunday|Big_Golf},{1|3|13},{Gakken|Nihon Bungeisha|Kodansha|Shueisha|Tokuma Shoten|Jitsugyo no Nihon Sha|Goma_Books|Koike_Shoin}
Haridama Magic Cram School,Atsushi Suzumi,2005-12-22,NULL,Monthly Shōnen Sirius,1,Kodansha
Harlem Beat,Yuriko_Nishiyama,NULL,NULL,Weekly Shōnen Magazine,29,{Tokyopop|Kodansha}
Harlock Saga,Leiji Matsumoto,NULL,NULL,NULL,8,Shinchosha
Haru Natsu Aki Fuyu,Eiki Eiki,NULL,NULL,{Yuri Shimai|Comic Yuri Hime},1,{Ichijinsha|JManga}
Haruchika,Sei Hatsuno,2008-10-29,NULL,Monthly Shōnen Ace,{1|5},Kadokawa Shoten
Haruhi Suzumiya,Nagaru Tanigawa,{2003-06-06|2007-07-26|2012-04-18},{2012-10-18|2013-12-26},{Monthly Shōnen Ace|Monthly Comp Ace|The Sneaker},{1|10|11|20},Kadokawa Shoten
Haruka Seventeen,Sayuka_Yamazaki,NULL,NULL,Weekly Morning,13,Kodansha
Harukanaru Toki no Naka de,Koei Tecmo,NULL,NULL,Lala,17,Hakusensha
Harukanaru Toki no Naka de Hachiyō Shō,Tohko Mizuno,NULL,NULL,LaLa DX,17,Hakusensha
Haré+Guu,Renjuro_Kindaichi,NULL,2009-09-12,Gangan Comics,10,Enix
NULL,NULL,NULL,NULL,Pre_Comic_Bunbun,NULL,Poplar_Publishing
Hataraki Man,Moyoco Anno,NULL,NULL,Weekly Morning,4,Kodansha
Hate to Love You,Makoto Tateno,NULL,NULL,NULL,NULL,Ohzora Publishing
Hatsuinu,NULL,2006-04-22,2008-07-11,NULL,3,Issuisya
Hatsukoi Scandal,Akira Oze,NULL,NULL,Shōnen Big Comic,18,Shogakukan
Hatsune Miku: Unofficial Hatsune Mix,NULL,NULL,NULL,Comic Rush,3,Jive (publisher)
Hatsuyuki Sakura,Daisuke_Takino,NULL,2012-05-26,Monthly Comp Ace,2,NULL
Haunted House (manga),Mitsukazu Mihara,2002-10-08,NULL,NULL,1,Shodensha
Haunted Junction,Nemu_Mukudori,1996-04-27,2001-08-27,Dengeki Comic Gao!,13,MediaWorks (publisher)
Haven't You Heard? I'm Sakamoto,NULL,2012-04-14,2015-12-14,Harta_(magazine),4,Enterbrain
Hayao Miyazaki's Daydream Data Notes,Hayao Miyazaki,NULL,NULL,Model_Graphix,1,Dainippon_Kaiga
Hayate the Combat Butler,Kenjiro Hata,2007-05-24,2008-03-18,Weekly Shōnen Sunday,{2|46},Shogakukan
Hayate × Blade,Shizuru Hayashiya,2003-11-21,NULL,{Ultra Jump|Dengeki Daioh},{1|18},{ASCII Media Works|Shueisha}
Haō Taikei Ryū Knight,Takehiko Itō,NULL,NULL,V Jump,3,Shueisha
He's My Only Vampire,Aya_Shouoto,NULL,NULL,Aria (magazine),10,Kodansha
He Is My Master,Mattsu,2002-02-08,NULL,Gangan Comics,5,Square Enix
NULL,Takashi_Yamada,2015-09-16,NULL,NULL,NULL,Kodansha
NULL,Izumi Todo,NULL,NULL,Nakayoshi,1,Kodansha
Heat (manga),Buronson,NULL,NULL,Big Comic Superior,17,Shogakukan
NULL,NULL,NULL,NULL,Monthly Magazine Z,1,Kodansha
Heaven's Lost Property,Suu Minazuki,{2007-03-26|2010-02-01|2010-10-01},2014-03-26,Monthly Shōnen Ace,20,Kadokawa Shoten
Heaven's Memo Pad,Hikaru Sugii,2007-01-25,2014-09-10,Dengeki Daioh,{3|9},ASCII Media Works
Heaven's Will (manga),Satoru_Takamiya,NULL,NULL,ChuChu (magazine),1,{Shogakukan|Viz Media}
Heavenly Body (manga),Takashi_Kanzaki,NULL,NULL,NULL,NULL,Daitosha
Heavy Object,Kazuma Kamachi,NULL,NULL,Dengeki Maoh,{1|3|10},ASCII Media Works
NULL,NULL,NULL,NULL,Nakayoshi,9,Kodansha
NULL,NULL,2009-03-19,2009-11-06,Nakayoshi,3,Kodansha
NULL,NULL,2010-03-19,2013-07-15,Nakayoshi,11,Kodansha
NULL,NULL,2007-07-20,NULL,Nakayoshi,13,Kodansha
Hell Teacher Nūbē,Makura_Shō,NULL,NULL,Weekly Shōnen Jump,31,Shueisha
Hello Good-bye,Lump of Sugar,NULL,NULL,NULL,NULL,Enterbrain
Hells Angels (manga),NULL,NULL,NULL,Ultra Jump,3,Shueisha
Hellsing,Kouta Hirano,NULL,2009-03-27,Young King OURs,10,Shōnen Gahōsha
Helter Skelter (manga),Kyoko Okazaki,NULL,NULL,Feel Young,1,Shodensha
Hen (manga),Hiroya Oku,NULL,NULL,Weekly Young Jump,{8|13},Shueisha
Hen Semi,TAGRO,2006-12-21,NULL,Weekly Morning,5,Kodansha
Her Majesty's Dog,Mick Takeuchi,NULL,NULL,NULL,11,{Akita Shoten|Go! Comi}
Here Is Greenwood,Yukie_Nasu,NULL,NULL,Hana to Yume,9,Hakusensha
Hero Heel,Makoto Tateno,2005-08-10,2007-03-10,NULL,3,Libre Publishing
Hero Tales,NULL,NULL,NULL,Gangan Comics,5,Square Enix
NULL,Kugeko_Warabino,2007-07-23,NULL,Monthly Magazine Z,1,Kodansha
Heroine Shikkaku,NULL,2010-03-13,2013-03-13,Bessatsu Margaret,9,Shueisha
Heroman,Stan Lee,NULL,NULL,Gangan Comics,5,Square Enix
Hetalia: Axis Powers,Hidekaz Himaruya,2014-09-22,NULL,NULL,{2|6},{Shueisha|Gentosha}
Hey Class President!,Kaori_Monchi,NULL,NULL,NULL,7,Shinshokan
Hey Sensei?,Yaya_Sakuragi,2007-04-10,NULL,NULL,1,Libre Publishing
Hey Pitan!,Risa Itō,NULL,NULL,Kiss (Japanese magazine),15,Kodansha
Hi Izuru Tokoro no Tenshi,Ryoko Yamagishi,NULL,NULL,LaLa,11,Hakusensha
Hiatari Ryōkō!,Mitsuru Adachi,NULL,NULL,Shōjo Comic,5,Shogakukan
Hibi Chōchō,Suu_Morishita,2012-02-20,2015-06-05,Margaret (magazine),12,Shueisha
Hibi Rock,NULL,NULL,NULL,Weekly Young Jump,5,Shueisha
Hibiki's Magic,Jun Maeda,NULL,NULL,{Monthly Shōnen Ace|Monthly Comp Ace},4,Kadokawa Shoten
Hidamari Sketch,Ume Aoki,2007-03-31,2007-09-30,Manga Time Kirara Carat,{2|8},Houbunsha
Hidamari no Ki,Osamu Tezuka,1981-04-25,1986-12-25,Big Comic,11,Shogakukan
Hideout (manga),NULL,NULL,NULL,NULL,1,{Shogakukan|Ki-oon}
Hideyuki Kikuchi's Vampire Hunter D,Hideyuki Kikuchi,NULL,NULL,NULL,8,{Digital Manga|MediaWorks (publisher)}
Higanbana no Saku Yoru ni,Ryukishi07,NULL,NULL,Monthly Dragon Age,6,Fujimi Shobo
Higanjima,Kōji_Matsumoto,NULL,NULL,Weekly Young Magazine,{5|16|33},Kodansha
Higepiyo,Risa Itō,NULL,NULL,Cocohana,1,Shueisha
High School! Kimengumi,Motoei Shinzawa,2000-12-01,NULL,{Weekly Shōnen Jump|Gangan Comics|Super Jump},{1|3|6|20},{Square Enix|Shueisha}
High School Debut,Kazune Kawahara,NULL,NULL,Bessatsu Margaret,13,Shueisha
High School DxD,Ichiei Ishibumi,{2008-09-20|2010-07-20|2012-03-09},NULL,{Dragon Magazine (Fujimi Shobo)|Monthly Dragon Age},{8|20},Fujimi Shobo
High School Girls,Towa Oshima,NULL,NULL,{Comic High!|Manga Action},9,Futabasha
High Score Girl,Rensuke_Oshikiri,NULL,NULL,NULL,5,Square Enix
Highschool of the Dead,Daisuke Satō,NULL,NULL,Monthly Dragon Age,7,{Kadokawa Shoten|Fujimi Shobo}
Highway Star (manga),Katsuhiro Otomo,1979-10-30,NULL,Manga Action,1,Futabasha
Higurashi When They Cry,Ryukishi07,2005-03-24,2011-11-22,{Gangan Comics|Monthly Comp Ace},{4|17|38},{Square Enix|Kadokawa Shoten|Kodansha Box}
Hikari no Densetsu,Izumi Aso,NULL,NULL,Margaret (magazine),16,Shueisha
Hikaru no Go,Yumi Hotta,NULL,NULL,Weekly Shōnen Jump,23,Shueisha
Hikkatsu! Strike a Blow to Vivify,Yu Yagami,2005-05-27,2006-05-27,Dengeki Comic Gao!,3,MediaWorks (publisher)
Hikōtei Jidai,Hayao Miyazaki,NULL,NULL,Model_Graphix,1,Dainippon_Kaiga
Himawari!,NULL,2006-03-07,2006-12-07,Young Animal,1,Hakusensha
Hime-chan's Ribbon,Megumi Mizusawa,NULL,NULL,Ribon,{3|10},Shueisha
Himegoto,Norio Tsukudani,{2011-11-25|2012-04-25|2013-10-27|2013-12-25|2014-02-25|2014-06-20|2015-06-27},2015-06-17,Comic Rex,6,Ichijinsha
Himitsu no Akko-chan,Fujio Akatsuka,NULL,NULL,Ribon,3,Shueisha
Himitsu no Recipe,Milk Morinaga,2009-02-12,NULL,NULL,2,Houbunsha
Himitsu – Top Secret,Reiko Shimizu,2001-12-19,NULL,Melody (magazine),12,Hakusensha
Himouto! Umaru-chan,NULL,{2013-03-14|2014-03-20},NULL,{Weekly Young Jump|Tonari_no_Young_Jump},{1|7},Shueisha
Hina-chan no Nichijo,Hiroko_Minami,NULL,NULL,NULL,4,Sankei Shimbun
Hinamatsuri (manga),Masao_Ōtake,NULL,NULL,NULL,9,{Kadokawa Corporation|Enterbrain}
Hinomaru Zumō,NULL,2014-05-26,NULL,Weekly Shōnen Jump,8,Shueisha
Hipira: The Little Vampire,Katsuhiro Otomo,NULL,NULL,NULL,1,NULL
Hiroki Endo's Tanpenshu,Hiroki Endo,NULL,NULL,Monthly Afternoon,2,Kodansha
His Favorite,NULL,NULL,NULL,NULL,9,Libre Publishing
Historie,Hitoshi Iwaaki,NULL,NULL,Monthly Afternoon,9,Kodansha
Hito Natsu no Kids Game,Ken Akamatsu,1993-09-10,NULL,Magazine_Fresh,NULL,Kodansha
Hitohira,Izumi Kirihara,{2004-03-22|2009-07-22},{2009-05-22|2010-01-22},Comic High!,{1|7},Futabasha
Hitohira no Koi ga Furu,Yū Yabūchi,2007-05-31,2008-04-28,ChuChu (magazine),3,Shogakukan
NULL,NULL,NULL,NULL,Monthly Magazine Z,4,Kodansha
Hiyokoi,Moe_Yukimaru,NULL,NULL,Ribon,14,Shueisha
Hokuto no Ken: Ichigo Aji,NULL,NULL,NULL,NULL,4,Tokuma Shoten
Holy Knight,NULL,2010-12-28,NULL,NULL,1,NULL
Holy Talker,Rando Ayamine,NULL,NULL,Monthly Shōnen Rival,6,Kodansha
Homunculus (manga),Hideo Yamamoto,2003-07-30,2011-04-28,Big Comic Spirits,15,Shogakukan
HoneyComing,{Hooksoft|Jōji Kamio},{2007-02-28|2007-10-25|2007-12-01|2010-01-15},2009-04-25,{Comptiq|Dengeki G's Magazine|Monthly Comp Ace},{1|3},{ASCII Media Works|Kadokawa Shoten}
Honey Bitter,Miho Obana,NULL,NULL,Cookie (manga magazine),11,Shueisha
Honey Bunny! (manga),Ryo Ikuemi,NULL,NULL,Margaret (magazine),2,Shueisha
Honey Honey no Suteki na Bouken,Hideko Mizuno,NULL,NULL,NULL,2,NULL
Honey Hunt,Miki Aihara,2006-12-22,NULL,Cheese!,6,{Shogakukan|Viz Media}
Honey So Sweet,NULL,NULL,NULL,Bessatsu Margaret,8,{Viz Media|Shueisha}
Honey and Clover,Chica Umino,NULL,2006-07-28,{Young You|Cocohana|CUTiEcomic},10,Shueisha
Honey x Honey Drops,Kanan Minami,NULL,NULL,Shōjo Comic,8,Shogakukan
Honō no Dōkyūji: Dodge Danpei,Tetsuhiro_Koshita,NULL,NULL,CoroCoro Comic,18,NULL
Honō no Tenkōsei,Kazuhiko Shimamoto,NULL,NULL,Weekly Shōnen Sunday,12,Shogakukan
Hori-san to Miyamura-kun,NULL,NULL,2011-12-22,Gangan Comics,{7|10},{Square Enix|Yen Press}
Horizon in the Middle of Nowhere,Minoru Kawakami,NULL,NULL,{Dengeki Daioh|Dengeki G's Magazine|Dengeki Bunko Magazine},{1|5|21},ASCII Media Works
Hoshi no Furumachi,Hidenori Hara,NULL,NULL,Weekly Young Sunday,7,Shogakukan
Hoshiful,{F&C Asset Management|Hyura_Konata},2007-07-26,NULL,Monthly Comp Ace,NULL,Kadokawa Shoten
Hoshin Engi,Ryu Fujisaki,1988-11-08,1989-01-06,Weekly Shōnen Jump,{3|23},{Kodansha|Shueisha}
Hoshiuta,Fumio (illustrator),2009-03-26,NULL,Monthly Comp Ace,NULL,Kadokawa Shoten
Hoshizora e Kakaru Hashi,NULL,NULL,NULL,Monthly Comp Ace,2,Kadokawa Shoten
Hot Gimmick,Miki Aihara,NULL,NULL,Betsucomi,12,Shogakukan
Hot Limit (manga),Minori_Shima,2006-08-28,NULL,NULL,1,Nihon Bungeisha
Hot Road,NULL,NULL,NULL,Bessatsu Margaret,4,Shueisha
Hot Steamy Glasses,Tatsumi_Kaiya,2006-10-16,NULL,NULL,1,Taiyoh_Tosho
Hot Tails,Toshiki Yui,NULL,NULL,NULL,2,{Fantagraphics Books|Byakuya_Shobo}
Hotaru no Hikari (manga),NULL,NULL,NULL,Kiss (Japanese magazine),15,Kodansha
Hotarubi no Mori e,Yuki Midorikawa,2011-09-05,NULL,LaLa DX,NULL,Hakusensha
Hotman,Sho_Kitagawa,NULL,NULL,Weekly Young Jump,15,Shueisha
House of Five Leaves,Natsume Ono,NULL,NULL,Monthly Ikki,8,Shogakukan
Houseki no Kuni,Haruko_Ichikawa,NULL,NULL,Monthly Afternoon,5,Kodansha
Hozuki's Coolheadedness,NULL,{2011-03-03|2015-12-01},NULL,{Nakayoshi|Weekly Morning},20,Kodansha
Hulk: The Manga,{Kazuo Koike|Yukio_Togawa},NULL,NULL,NULL,23,NULL
Human Crossing,Masao_Yajima,1981-10-01,1991-03-01,Big Comic Original,27,Shogakukan
Humanity Has Declined,Romeo Tanaka,2007-05-24,2014-06-18,{Monthly Comic Alive|Monthly Ikki},{1|3|9},{Shogakukan|Media Factory}
